neo,pha,full_name,diameter,orbit_id,epoch,e,a,q,i,w,per_y,om,ma,ad,n,moid,H,class,Notes,
Y,Y,  8014 (1990 MF),0.7,JPL 178,2460600.5,0.456,1.747,0.951,1.87,114.73,2.31,209.84,291.48,2.54,0.4268,0.0169,18.88,APO,,
Y,Y,442037 (2010 PR66),0.695,JPL 103,2460600.5,0.6872,2.927,0.916,17.6,319.52,5.01,292.75,310.29,4.94,0.1968,0.000703,19.27,APO,,
Y,N,477588 (2010 JD87),0.692,JPL 31,2460600.5,0.6395,1.428,0.515,24.62,148.6,1.71,338.34,206.07,2.34,0.5778,0.284,19.39,APO,,
Y,N,534676 (2014 VK2),0.691,JPL 44,2460600.5,0.6036,1.838,0.728,16.39,232.01,2.49,63.31,23.47,2.95,0.3957,0.0937,18.65,APO,,
Y,N,676362 (2016 FG15),0.686,JPL 41,2460600.5,0.6953,2.496,0.761,16.64,183.74,3.94,72.47,44.43,4.23,0.2499,0.225,19.96,APO,,
Y,N,455426 (2003 MT9),0.685,JPL 41,2460600.5,0.9224,2.533,0.197,6.84,200.7,4.03,233.38,86.8,4.87,0.2445,0.0539,18.76,APO,,
Y,N,155110 (2005 TB),0.683,JPL 167,2460600.5,0.3486,1.261,0.822,30.38,44.79,1.42,226.17,200.28,1.7,0.6957,0.11,17.49,APO,,
Y,N,277039 (2005 CF41),0.676,JPL 51,2460600.5,0.5859,1.649,0.683,15.87,208.77,2.12,132.18,238.17,2.61,0.4656,0.206,18.55,APO,,
Y,Y,365071 (2009 AV),0.674,JPL 153,2460600.5,0.0739,1.03,0.954,45.87,322.13,1.04,150.73,79.79,1.11,0.9433,0.0195,18.18,APO,,
Y,N,343166 (2009 SO103),0.67,JPL 89,2460600.5,0.6635,2.004,0.674,29.48,304.63,2.84,194.65,57,3.33,0.3474,0.145,17.42,APO,,
Y,N,399325 (1999 GY5),0.669,JPL 50,2460600.5,0.6148,1.146,0.442,24.43,232.23,1.23,203.38,336.48,1.85,0.8029,0.0646,20.17,APO,,
Y,N,277617 (2006 BT7),0.666,JPL 69,2460600.5,0.6333,1.522,0.558,16.17,342.56,1.88,298.55,229.01,2.49,0.525,0.253,18.18,APO,,
Y,Y,506074 Svarog (2015 UM67),0.665,JPL 93,2460600.5,0.6874,1.558,0.487,6.01,132.27,1.94,150.02,247.7,2.63,0.5069,0.0482,18.93,APO,,
Y,Y,386847 (2010 LR33),0.663,JPL 109,2460600.5,0.4625,1.692,0.909,5.83,333.22,2.2,352.07,169.15,2.47,0.448,0.029,18.06,APO,,
Y,N,438107 (2005 GY110),0.663,JPL 38,2460600.5,0.6864,1.849,0.58,12.65,169.14,2.51,294.6,291.55,3.12,0.3921,0.214,18.36,APO,,
Y,N,413820 (2006 QR89),0.659,JPL 52,2460600.5,0.3672,1.889,1.195,9.24,263.77,2.6,166.35,300.51,2.58,0.3797,0.271,19.65,AMO,,
Y,N,411201 (2010 LJ14),0.658,JPL 313,2460600.5,0.3417,1.626,1.071,12.03,295.37,2.07,177.37,79.58,2.18,0.4753,0.174,17.81,AMO,,
Y,N,523595 (2002 OS4),0.658,JPL 156,2460600.5,0.4539,1.923,1.05,26.81,102.22,2.67,289.42,84.06,2.8,0.3695,0.298,18.37,AMO,,
Y,N,219071 (1997 US9),0.657,JPL 287,2460600.5,0.2821,1.053,0.756,20.02,357.4,1.08,212.19,177.29,1.35,0.9124,0.247,17.14,APO,,
Y,N,496174 (2011 CQ4),0.657,JPL 61,2460600.5,0.5833,2.001,0.834,23.74,86.48,2.83,85.97,266.4,3.17,0.3481,0.166,18.47,APO,,
Y,Y,250620 (2005 GE59),0.654,JPL 141,2460600.5,0.6025,2.109,0.838,16.08,243.02,3.06,194.74,196.79,3.38,0.3218,0.0319,18.07,APO,,
Y,N,285331 (1999 FN53),0.654,JPL 132,2460600.5,0.4563,1.735,0.943,20.17,191.73,2.29,50.57,40.74,2.53,0.4312,0.057,18.2,APO,,
Y,Y,310560 (2001 QL142),0.654,JPL 81,2460600.5,0.4991,1.049,0.526,26.6,72.15,1.08,165.55,267.48,1.57,0.9168,0.0482,17.8,APO,,
Y,Y,538212 (2016 CA136),0.654,JPL 50,2460600.5,0.7812,2.032,0.444,1.26,125.01,2.9,239.74,18.73,3.62,0.3404,0.00705,19.35,APO,,
Y,N,345722 (2007 BG29),0.653,JPL 88,2460600.5,0.3347,0.8327,0.554,18.51,245.15,0.76,60.95,341.97,1.11,1.297,0.0872,18.27,ATE,,
Y,N,477490 (2010 CG18),0.652,JPL 51,2460600.5,0.226,1.439,1.114,10.16,351.62,1.73,78.78,210.24,1.76,0.5712,0.13,20.59,AMO,,
Y,N, 38086 Beowulf (1999 JB),0.643,JPL 210,2460600.5,0.5661,1.42,0.616,23.67,178.97,1.69,165.32,316.82,2.22,0.5823,0.385,17.35,APO,,
Y,N,394392 (2007 EP88),0.636,JPL 61,2460600.5,0.8859,0.8373,0.096,20.74,47.12,0.766,328.49,101.84,1.58,1.287,0.142,18.37,ATE,,
Y,N,395143 (2010 CN1),0.636,JPL 65,2460600.5,0.4391,1.499,0.841,20.97,192.49,1.83,216.42,35.63,2.16,0.5371,0.145,18.95,APO,,
Y,N,363626 (2004 RA11),0.633,JPL 58,2460600.5,0.3995,1.824,1.095,39.36,276.43,2.46,169.71,8.21,2.55,0.4001,0.396,18.91,AMO,,
Y,N,172034 (2001 WR1),0.631,JPL 180,2460600.5,0.2026,1.277,1.019,25.03,48.56,1.44,6.51,302.78,1.54,0.6828,0.0754,17.84,AMO,,
Y,N,237551 (2000 WQ19),0.63,JPL 100,2460600.5,0.347,1.406,0.918,34.27,270.73,1.67,38.78,173.19,1.89,0.5911,0.196,18.42,APO,,
Y,N,250458 (2004 BO41),0.63,JPL 130,2460600.5,0.4929,1.019,0.516,35.55,254.45,1.03,337.74,12.44,1.52,0.9589,0.089,18,APO,,
Y,N,185716 (1998 SF35),0.629,JPL 119,2460600.5,0.2739,1.685,1.224,35.19,253.76,2.19,218.57,255.14,2.15,0.4505,0.414,17.95,AMO,,
Y,N,254419 (2004 VT60),0.629,JPL 96,2460600.5,0.4341,2.075,1.174,43.51,247.34,2.99,57.53,284.05,2.98,0.3296,0.378,17.73,AMO,,
Y,N,275974 (2001 XD),0.626,JPL 87,2460600.5,0.7958,2.045,0.418,11.3,232.73,2.93,63.96,318.64,3.67,0.337,0.064,18.68,APO,,
Y,N,299582 (2006 GQ2),0.622,JPL 57,2460600.5,0.4659,1.29,0.689,25.83,64.55,1.47,13.88,284.29,1.89,0.6724,0.125,18.18,APO,,
Y,Y,436329 (2010 GX62),0.622,JPL 64,2460600.5,0.699,2.971,0.894,21.83,317,5.12,206.93,316.16,5.05,0.1925,0.00282,20.09,APO,,
Y,Y,422699 (2000 PD3),0.619,JPL 108,2460600.5,0.592,1.999,0.815,7.7,110.23,2.83,298.64,171.27,3.18,0.3488,0.0274,18.28,APO,,
Y,N,504827 (2010 KZ117),0.615,JPL 31,2460600.5,0.512,2.27,1.108,33.16,321.33,3.42,314.18,64.59,3.43,0.2882,0.168,19.09,AMO,,
Y,N,285339 (1999 JR6),0.614,JPL 67,2460600.5,0.6755,1.367,0.443,20.32,27.29,1.6,52.61,54.33,2.29,0.617,0.221,18.07,APO,,
Y,N,220124 (2002 TE66),0.609,JPL 107,2460600.5,0.3778,1.457,0.906,51.34,290.55,1.76,191,133.57,2.01,0.5604,0.0978,18.76,APO,,
Y,N,242187 (2003 KR18),0.605,JPL 173,2460600.5,0.48,2.346,1.22,5.58,86.8,3.59,244.04,323.9,3.47,0.2743,0.235,17.99,AMO,,
Y,N,381181 (2007 LV19),0.602,JPL 53,2460600.5,0.3204,1.472,1,14.89,301.42,1.79,264.02,281.94,1.94,0.5521,0.0893,19.69,APO,,
Y,N,523637 (2010 LT108),0.602,JPL 32,2460600.5,0.3708,1.349,0.849,31.87,9.5,1.57,161.12,105.28,1.85,0.6288,0.136,19.52,APO,,
Y,Y,  2101 Adonis (1936 CA),0.6,JPL 47,2460600.5,0.7642,1.874,0.442,1.32,43.69,2.57,349.43,230.82,3.31,0.3842,0.0116,18.72,APO,,
Y,N,  4688 (1980 WF),0.6,JPL 71,2460600.5,0.5179,2.232,1.076,6.38,213.8,3.34,241.23,45.35,3.39,0.2955,0.109,19.6,AMO,,
Y,N, 14402 (1991 DB),0.6,JPL 105,2460600.5,0.4016,1.715,1.026,11.41,51.55,2.25,158.14,325.5,2.4,0.4389,0.105,18.77,AMO,,
Y,N,455185 (2000 EB107),0.599,JPL 39,2460600.5,0.5837,3.063,1.275,24.29,45.26,5.36,176.08,219.53,4.85,0.1839,0.362,17.31,AMO,,
Y,Y,312070 (2007 TA19),0.595,JPL 57,2460600.5,0.5096,0.9539,0.468,22.63,58.06,0.932,181.18,176.51,1.44,1.058,0.0196,19.41,ATE,,
Y,N, 85953 (1999 FK21),0.59,JPL 274,2460600.5,0.703,0.7388,0.219,12.6,172.42,0.635,180.45,358.2,1.26,1.552,0.0712,18.15,ATE,,
Y,N,439889 (2000 PG5),0.59,JPL 32,2460600.5,0.4577,2.087,1.132,6.12,358.73,3.02,309.74,11.32,3.04,0.3269,0.117,20.38,AMO,,
Y,N,498066 (2007 RM133),0.589,JPL 89,2460600.5,0.4398,2.212,1.239,10.75,181.12,3.29,106.06,107.58,3.19,0.2995,0.224,18.55,AMO,,
Y,N,246138 (2007 OG3),0.588,JPL 59,2460600.5,0.4816,2.164,1.122,1.69,272.04,3.18,78.32,145.17,3.21,0.3096,0.12,18.24,AMO,,
Y,N,311321 (2005 NP1),0.583,JPL 59,2460600.5,0.2964,1.827,1.285,34.71,307.63,2.47,274.95,316.74,2.37,0.3992,0.371,18.61,AMO,,
Y,N,349219 (2007 SV11),0.583,JPL 48,2460600.5,0.4939,1.734,0.878,32.22,23.75,2.28,292.21,176.56,2.59,0.4317,0.109,18.13,APO,,
Y,N,462775 (2010 GY6),0.579,JPL 87,2460600.5,0.2343,1.286,0.985,21.91,116.03,1.46,204.67,227.63,1.59,0.6755,0.0928,19.4,APO,,
Y,Y,363027 (1998 ST27),0.578,JPL 134,2460600.5,0.5298,0.8198,0.385,21.06,322.43,0.742,197.52,277.29,1.25,1.328,0.00992,19.64,ATE,,
Y,N,159454 (2000 DJ8),0.577,JPL 164,2460600.5,0.2528,1.411,1.054,37.75,262.97,1.68,139.53,348.15,1.77,0.588,0.247,18.15,AMO,,
Y,Y, 90403 (2003 YE45),0.572,JPL 272,2460600.5,0.2802,1.234,0.889,19.01,306.85,1.37,286.23,341.08,1.58,0.7186,0.0358,17.78,APO,,
Y,N,334673 (2003 AL18),0.57,JPL 135,2460600.5,0.4165,1.685,0.983,15.72,246.72,2.19,312.88,307.33,2.39,0.4508,0.135,17.97,APO,,
Y,N, 87309 (2000 QP),0.568,JPL 181,2460600.5,0.4631,0.8475,0.455,34.74,188.17,0.78,294.27,229.25,1.24,1.263,0.203,17.61,ATE,,
Y,Y,140158 (2001 SX169),0.566,JPL 187,2460600.5,0.4608,1.347,0.726,2.52,42.73,1.56,126.78,94.39,1.97,0.6302,0.026,18.48,APO,,
Y,N,137099 (1998 YW3),0.564,JPL 134,2460600.5,0.4627,1.1,0.591,28.79,194.84,1.15,94.27,289.11,1.61,0.8542,0.388,18.29,APO,,
Y,N,523631 (2009 SX1),0.564,JPL 113,2460600.5,0.4471,1.722,0.952,8.29,115.39,2.26,335.01,208.41,2.49,0.4361,0.0736,18.94,APO,,
